Date,Open,High,Low,Close,Volume
2021-06-22,1886.7175090140947,1947.931010417663,1872.5042780572453,1917.7435302734373,19110
2021-06-23,1937.0297381132425,1958.412533923584,1918.5818358454967,1950.069091796875,17918
2021-06-24,1958.8320182663003,1974.764299236788,1926.9674563253247,1964.1148681640625,19643
2021-06-25,1973.9256661421057,1974.764207206737,1923.613202264227,1937.5748291015625,26823
2021-06-28,1929.482486309507,1945.289063142605,1914.8080215070663,1919.9649658203125,24343
2021-06-29,1928.6446968318464,1960.5092613881984,1903.4464936527588,1946.3797607421875,19627
2021-06-30,1931.3278197239624,1994.0507349206928,1929.734673523444,1974.428955078125,30734
2021-07-01,1962.2696186370351,1970.5291235706463,1947.091946638818,1950.9073486328125,11832
2021-07-02,1959.293341282626,1970.5297106679573,1937.8685742148296,1969.3558349609373,9619
2021-07-05,1970.5714786140263,1987.132664444932,1946.2537880268744,1974.17724609375,15180
2021-07-06,1970.57120799844,1985.6649449107688,1945.498915793947,1951.8717041015625,6377
2021-07-07,1947.1343726077632,1967.1334547056576,1939.6294708212088,1954.345703125,4803
2021-07-08,1953.8003016824648,1962.0180434665392,1929.692250749688,1936.86181640625,6090
2021-07-09,1936.862026754768,1954.5551188755487,1918.5817921612936,1924.870849609375,6999
2021-07-12,1913.5507062017723,1951.578625306258,1908.5194598226265,1911.7479248046875,7711
2021-07-13,1896.192799736708,1930.78261590448,1896.192799736708,1918.3302001953125,3503
2021-07-14,1919.545870846506,1934.0526697500948,1909.1060773057925,1925.709228515625,5517
2021-07-15,1926.128664934612,1935.3526158768325,1908.9805425364136,1920.1331787109373,3068
2021-07-16,1928.644504056562,1931.3697625949028,1910.1966001047167,1913.1734619140625,4162
2021-07-19,1899.2956870428427,1918.540165311534,1895.1029813319312,1898.79248046875,5022
2021-07-20,1899.295519914054,1931.453651775768,1895.1028145720804,1905.207275390625,12496
2021-07-22,1920.259086611044,1932.8372028988888,1889.2750344330404,1903.7398681640625,9737
2021-07-23,1934.5138691410143,1939.5451145744112,1899.295151107238,1919.29443359375,5647
2021-07-26,1919.2949590279973,1926.9675285256417,1892.587341985367,1899.6729736328125,8112
2021-07-27,1909.19048054842,1918.5401322337705,1896.8219989144773,1899.295654296875,5244
2021-07-28,1902.398161574714,1903.572241953406,1878.332072835894,1891.035888671875,4613
2021-07-29,1887.555943599388,1899.7567570801475,1887.555943599388,1890.826171875,2839
2021-07-30,1900.3018663347232,1918.3724686160947,1880.1768792308933,1904.955810546875,6079
2021-08-02,1918.5817334755952,1921.1393243706343,1901.852882119787,1912.208740234375,6342
2021-08-03,1922.7749158492547,1928.6447040790608,1889.317204828148,1904.57861328125,18901
2021-08-04,1921.3491693542985,1926.00311317595,1866.089190735244,1875.648681640625,28652
2021-08-05,1893.582269204556,1895.367227173848,1880.0682988827584,1886.6978759765625,9693
2021-08-06,1879.261188557129,1922.9905905404576,1879.261188557129,1891.5853271484373,16281
2021-08-09,1910.6661929083864,1917.4231782017016,1887.930285141349,1895.0697021484373,9939
2021-08-10,1895.452238693341,1901.104259559042,1844.37073577428,1851.9776611328125,16129
2021-08-11,1857.1201417838945,1865.619547467116,1805.273767116243,1811.7333984375,17567
2021-08-12,1812.9229568513329,1851.000330029283,1812.8804183283737,1824.3546142578125,7600
2021-08-13,1840.121390346207,1917.465984582468,1828.6046537693624,1885.93310546875,78329
2021-08-16,1886.86778747108,1903.5267031912888,1883.0005169462104,1891.074951171875,197979
2021-08-17,1899.6166140395485,1918.6977327109,1885.7625453310195,1897.5343017578125,36316
2021-08-18,1897.5344342829728,1918.6978667141293,1886.0177006486792,1891.2447509765625,24961
2021-08-20,1895.3670631967475,1895.3670631967475,1867.6589235758263,1882.10791015625,6873
2021-08-23,1923.4152167296072,1923.4152167296072,1836.0412979507464,1859.7547607421875,11034
2021-08-24,1865.2795009485567,1879.4309272461128,1847.7706436780325,1857.034912109375,8157
